,Title,Author,Abstract
10,Hydrological controls on river network connectivity,"Garbin, S","This study proposes a probabilistic approach for the quantitative assessment of reach-and network-scale hydrological connectivity as dictated by river flow space-time variability. Spatial dynamics of daily streamflows are estimated based on climatic and morphological features of the contributing catchment, integrating a physically based approach that accounts for the stochasticity of rainfall with a water balance framework and a geomorphic recession flow analysis. Ecologically meaningful minimum stage thresholds are used to evaluate the connectivity of individual stream reaches, and other relevant network-scale connectivity metrics. The framework allows a quantitative description of the main hydrological causes and the ecological consequences of water depth dynamics experienced by river networks. The analysis shows that the spatial variability of local-scale hydrological connectivity is strongly affected by the spatial and temporal distribution of climatic variables. Depending on the underlying climatic settings and the critical stage threshold, loss of connectivity can be observed in the headwaters or along the main channel, thereby originating a fragmented river network. The proposed approach provides important clues for understanding the effect of climate on the ecological function of river corridors.Show less"
11,Hydrologic connectivity and the contribution of stream headwaters to ecological integrity at regional scales,"Freeman, MC","Cumulatively, headwater streams contribute to maintaining hydrologic connectivity and ecosystem integrity at regional scales. Hydrologic connectivity is the water-mediated transport of matter, energy and organisms within or between elements of the hydrologic cycle. Headwater streams compose over two-thirds of total stream length in a typical river drainage and directly connect the upland and riparian landscape to the rest of the stream ecosystem. Altering headwater streams, e.g., by channelization, diversion through pipes, impoundment and burial, modifies fluxes between uplands and downstream river segments and eliminates distinctive habitats. The large-scale ecological effects of altering headwaters are amplified by land uses that alter runoff and nutrient loads to streams, and by widespread dam construction on larger rivers (which frequently leaves free-flowing upstream portions of river systems essential to sustaining aquatic biodiversity). We discuss three examples of large-scale consequences of cumulative headwater alteration. Downstream eutrophication and coastal hypoxia result, in part, from agricultural practices that alter headwaters and wetlands while increasing nutrient runoff. Extensive headwater alteration is also expected to lower secondary productivity of river systems by reducing stream-system length and trophic subsidies to downstream river segments, affecting aquatic communities and terrestrial wildlife that utilize aquatic resources. Reduced viability of freshwater biota may occur with cumulative headwater alteration, including for species that occupy a range of stream sizes but for which headwater streams diversify the network of interconnected populations or enhance survival for particular life stages. Developing a more predictive understanding of ecological patterns that may emerge on regional scales as a result of headwater alterations will require studies focused on components and pathways that connect headwaters to river, coastal and terrestrial ecosystems. Linkages between headwaters and downstream ecosystems cannot be discounted when addressing large-scale issues such as hypoxia in the Gulf of Mexico and global losses of biodiversity.Show less"
12,Modelling functional fish habitat connectivity in rivers: A case study for prioritizing restoration actions targeting brown trout,"Roy, ML","1. Throughout the world, decreased connectivity of fluvial habitats caused by artificial river channel alterations such as culverts, weirs and dykes is seen as an important threat to the long-term survival of many aquatic species. In addition to assessing habitat quality and abundance, wildlife managers are becoming increasingly aware of the importance of taking into account habitat connectivity when setting priorities for restoration. In this paper, a new approach of spatial analysis adapted to rivers and streams is proposed for modelling 2D functional habitat connectivity, integrating distance, costs and risk of travelling between habitat patches (e.g. daily use, spawning, refuge) for particular fish species, size classes and life stages.2. This approach was applied to a case study in which brown trout (Salmo trutta) habitat accessibility was examined and compared under various scenarios of stream restoration in a highly fragmented stream in Ile-de-France. Probabilities of reaching spawning habitats were estimated from a trout-populated area located downstream of the barriers and from potential daily-use habitat patches across the stream segment.3. The approach successfully helped prioritize restoration actions by identifying options that yield the greatest increase in accessible spawning habitat areas and connectivity between spawning habitat and daily-use habitat patches. This case study illustrates the practical use of the approach and the software in the context of river habitat management.Show less"
13,A novel method to evaluate stream connectivity using trail cameras,"Bellucci, CJ","Stream connectivity is important for the ecological health of the stream and downstream waters. In this study, we use the term stream connectivity to mean hydrologically connected pools and riffles that link stream habitat along a longitudinal continuum (upstream to downstream), while also recognizing the lateral dimension (connection to flood plain) and vertical connection to groundwater. There are thousands of man-made structures (i.e. dams, culverts, surface and groundwater withdrawal locations) in Connecticut which negatively impact stream connectivity and can result in aquatic habitat fragmentation. Cost-effective techniques are needed to assess human alteration to streams in order to prioritize management actions to restore stream connectivity. We developed a method to characterize stream connectivity using commercially available trail cameras that cost less than approximately $500 per deployment. We developed a six-category system to describe the variations in stream connectivity observed using the trail camera images. We then used the categorical data to calculate metrics that quantify stream connectivity. To pilot this approach, we evaluated reference locations with minimal anthropogenic influence on stream connectivity in comparison with stream reaches likely to be impacted by nearby groundwater wells. We found that metrics derived from trail camera images were useful to quantify stream connectivity. We anticipate that the methods outlined herein is a useful stream connectivity assessment tool that can be effectively communicated to scientists and non-scientists. All source code and data for this project are freely available and open source at: .Show less"
14,MEASURING LONGITUDINAL RIVER NETWORK CONNECTIVITY,"Branco, P",
15,How Hydrologic Connectivity Regulates Water Quality in River Corridors,"Harvey, J","Downstream flow in rivers is repeatedly delayed by hydrologic exchange with off-channel storage zones where biogeochemical processing occurs. We present a dimensionless metric that quantifies river connectivity as the balance between downstream flow and the exchange of water with the bed, banks, and floodplains. The degree of connectivity directly influences downstream water quality - too little connectivity limits the amount of river water exchanged and leads to biogeochemically inactive water storage, while too much connectivity limits the contact time with sediments for reactions to proceed. Using a metric of reaction significance based on river connectivity, we provide evidence that intermediate levels of connectivity, rather than the highest or lowest levels, are the most efficient in removing nitrogen from Northeastern United States' rivers. Intermediate connectivity balances the frequency, residence time, and contact volume with reactive sediments, which can maximize the reactive processing of dissolved contaminants and the protection of downstream water quality. Our simulations suggest denitrification dominantly occurs in riverbed hyporheic zones of streams and small rivers, whereas vertical turbulent mixing in contact with sediments dominates in mid-size to large rivers. The metrics of connectivity and reaction significance presented here can facilitate scientifically based prioritizations of river management strategies to protect the values and functions of river corridors.Show less"
16,Connectivity of Streams and Wetlands to Downstream Waters: An Integrated Systems Framework,"Leibowitz, SG","Interest in connectivity has increased in the aquatic sciences, partly because of its relevance to the Clean Water Act. This paper has two objectives: (1) provide a framework to understand hydrological, chemical, and biological connectivity, focusing on how headwater streams and wetlands connect to and contribute to rivers; and (2) briefly review methods to quantify hydrological and chemical connectivity. Streams and wetlands affect river structure and function by altering material and biological fluxes to the river; this depends on two factors: (1) functions within streams and wetlands that affect material fluxes; and (2) connectivity (or isolation) from streams and wetlands to rivers that allows (or prevents) material transport between systems. Connectivity can be described in terms of frequency, magnitude, duration, timing, and rate of change. It results from physical characteristics of a system, e.g., climate, soils, geology, topography, and the spatial distribution of aquatic components. Biological connectivity is also affected by traits and behavior of the biota. Connectivity can be altered by human impacts, often in complex ways. Because of variability in these factors, connectivity is not constant but varies over time and space. Connectivity can be quantified with field-based methods, modeling, and remote sensing. Further studies using these methods are needed to classify and quantify connectivity of aquatic ecosystems and to understand how impacts affect connectivity.Show less"
17,Increasing floodplain connectivity through urban stream restoration increases nutrient and sediment retention,"McMillan, SK","Stream restoration practices frequently aim to increase connectivity between the stream channel and its floodplain to improve channel stability and enhance water quality through sediment trapping and nutrient retention. To measure the effectiveness of restoration and to understand the drivers of these functional responses, we monitored five restored urban streams that represent a range of channel morphology and restoration ages. High and low elevation floodplain plots were established in triplicate in each stream to capture variation in floodplain connectivity. We measured ecosystem geomorphic and soil attributes, sediment and nutrient loading, and rates of soil nutrient biogeochemistry processes (denitrification; N and P mineralization) then used boosted regression trees (BRT) to identify controls on sedimentation and nutrient processing. Local channel and floodplain morphology and position within the river network controlled connectivity with increased sedimentation at sites downstream of impaired reaches and at floodplain plots near the stream channel and at low elevations. We observed that nitrogen loading (both dissolved and particulate) was positively correlated with denitrification and N mineralization and dissolved phosphate loading positively influenced P mineralization; however, none of these input rates or transformations differed between floodplain elevation categories. Instead, continuous gradients of connectivity were observed rather than categorical shifts between inset and high floodplains. Organic matter and nutrient content in floodplain soils increased with the time since restoration, which highlights the importance of recovery time after construction that is needed for restored systems to increase ecosystem functions. Our results highlight the importance of restoring floodplains downstream of sources of impairment and building them at lower elevations so they flood frequently, not just during bankfull events. This integrated approach has the greatest potential for increasing trapping of sediment, nutrients, and associated pollutants in restored streams and thereby improving water quality in urban watersheds.Show less"
18,"Simulation of dynamic expansion, contraction, and connectivity in a mountain stream network","Ward, AS","Headwater stream networks expand and contract in response to changes in stream discharge. The changes in the extent of the stream network are also controlled by geologic or geomorphic setting - some reaches go dry even under relatively wet conditions, other reaches remain flowing under relatively dry conditions. While such patterns are well recognized, we currently lack tools to predict the extent of the stream network and the times and locations where the network is dry within large river networks. Here, we develop a perceptual model of the river corridor in a headwater mountainous catchment, translate this into a reduced-complexity mechanistic model, and implement the model to examine connectivity and network extent over an entire water year. Our model agreed reasonably well with our observations, showing that the extent and connectivity of the river network was most sensitive to hydrologic forcing under the lowest discharges (Q(gauge) < 1 L s(-1)), that at intermediate discharges (1 L s(-1) < Q(gauge) < 10 L s(-1)) the extent of the network changed dramatically with changes in discharge, and that under wet conditions (Q(gauge) > 10 L s(-1)) the extent of the network was relatively insensitive to hydrologic forcing and was instead determined by the network topology. We do not expect that the specific thresholds observed in this study would be transferable to other catchments with different geology, topology, or hydrologic forcing. However, we expect that the general pattern should be robust: the dominant controls will shift from hydrologic forcing to geologic setting as discharge increases. Furthermore, our method is readily transferable as the model can be applied with minimal data requirements (a single stream gauge, a digital terrain model, and estimates of hydrogeologic properties) to estimate flow duration or connectivity along the river corridor in unstudied catchments. As the available information increases, the model could be better calibrated to match site-specific observations of network extent, locations of dry reaches, or solute break through curves as demonstrated in this study. Based on the low initial data requirements and ability to later tune the model to a specific site, we suggest example applications of this parsimonious model that may prove useful to both researchers and managers. (C) 2018 Elsevier Ltd. All rights reserved.Show less"
19,Trade-offs among road-stream crossing upgrade prioritizations based on connectivity restoration and erosion risk control,"Lin, HY","Prioritizing projects to improve cost-effectiveness has become a common practice in natural resources management, especially in selecting sites for river restoration work. Previous studies for prioritizing road-stream crossing upgrade projects focused on either restoring river connectivity or reducing sedimentation, even though crossings can affect connectivity and sedimentation simultaneously. In this study, we simulated site selection to maximize the improvement of connectivity restoration and sedimentation reduction of three prioritization schemes targeting (a) river connectivity, (b) erosion risk, or (c) both objectives concurrently and compared the results. Furthermore, we examined the relationships between the cost-effectiveness of prioritizations and watershed characteristics. We found significant differences among the effectiveness of prioritization objectives; thus, trade-offs should be taken into consideration when prioritizing crossings. The incorporation of spatial interdependency among crossings and weighting objectives could significantly change the cost-effectiveness. We also found that splitting the budget and using a portion to individually prioritize each objective could be more cost-effective than using the whole budget to achieve concurrent objectives. Watershed characteristics like size and connectivity- and sedimentation-related factors could be used to help identify effective management for both connectivity restoration and sedimentation control.Show less"
20,Commonalities in stream connectivity restoration alternatives: an attempt to simplify barrier removal optimization,"McManamay, RA","Movement within stream corridors is a basic life history requirement of many aquatic organisms. Barrier removal in streams has become a common practice in the United States aimed to restore organism dispersal and meet conservation objectives; however, there are social and economic costs to the removal of barriers. Accordingly, tools to prioritize barrier removal, particularly optimization techniques, can be used to evaluate cost-benefit trade-offs. Many of these techniques, however, require programming experience and are not available to natural resource managers. Furthermore, conservation objectives vary considerably depending on the life histories of organisms under consideration, and these opposing objectives, in conjunction with variant socioeconomic costs, will influence optimization solutions, specifically which barriers to remove. To promote the use of optimization tools, straightforward and open-access platforms are needed to support use by managers, while also providing general approaches for holistic basin-scale connectivity restoration. Herein, we use two case studies, White Oak Creek (small watershed) and the Roanoke River Basin (large basin), to explore the divergent outcomes stemming from different conservation objectives and socioeconomic costs used to prioritize barrier removal. We conducted optimization modeling using a widely accessible platform along with an open-access solver plug-in to support a wide variety of conservation objectives. We used simple approaches to find commonalities in barriers identified for removal among divergent conservation objectives and provide alternative (i.e., hybrid removal-passage) strategies for approaching habitat restoration for diverse aquatic communities while increasing social benefits (i.e., hydropower energy). As expected, different conservation objectives aimed to support varied species life histories (e.g., diadromy, large-river vs. small-river potamodromy) have very different effects on optimization solutions. In both case studies, however, commonalities in solutions were identified through clustering groups of barriers into general connectivity restoration strategies. Furthermore, strategy types for a given barrier could be predicted with >= 72% accuracy using only four metrics. This suggests that optimization results can be simplified into general standards to support adoption of sustainable basin connectivity criteria strategies. Our framework provides a flexible and open-access approach to conduct relatively complex optimization modeling for stream barrier prioritization, while examining potential for agreement among divergence conservation objectives.Show less"
21,River network connectivity and fish diversity,"Shao, XJ","Frequent and severe disruptions of natural river flows associated with human activities significantly alter hydrological connectivity in large river networks, with deleterious effects on fish diversity. Understanding the relationship between fish diversity and river network connectivity is fundamental to ensuring species persistence, ecosystem integrity, and human well-being. Here, we provide a review of the mechanisms by which river network connectivity (RNC) affects fish diversity. We review the relationships between forms, systems and types of RNC and fish diversity, based on more than 100 previous studies. In summary, sustaining RNC promotes fish diversity in longitudinal and lateral axes, and species sorting, dispersal dynamics, and habitat availability are the main factors driving the distribution of fish diversity, followed by nutrition and trophic dynamics. Our work highlights the effects of RNC on fish diversity, and provides a mechanistic understanding of how RNC affects fish diversity across river basins, thus providing scientific guidance for protecting fish biodiversity and improving the health of liver network ecosystems. (C) 2019 Elsevier B.V. All rights reserved.Show less"
22,Prioritizing barrier removal to improve functional connectivity of rivers,"Branco, P","1. Freshwater systems are severely impacted by connectivity reduction due to the construction of dams and weirs. The breach of this longitudinal connectivity imperils freshwater fish species world-wide. There is thus an increasing need for numerical tools that help decision-makers correctly allocate resources to prioritize restoration actions.2. This study provides a methodology for prioritizing the removal of barriers. It is based on spatial graphs, which represent structural units as nodes and relationships between nodes as links, and uses habitat suitability modelling (Boosted Regression Trees) to weight nodes. To exemplify the application of this procedure, we used the Tagus River network and evaluated the impact of the dams (29 built between 1928 and 2004) on the occurrence of each of two fish species (Iberian barbel Luciobarbus bocagei - representing large potamodromous fish; and southern Iberian chub Squalius pyrenaicus - representing small water-column residents) and on the combination of both.3. Results show that dam construction on the Tagus was responsible for a 48.4-54.4% reduction in river connectivity for different fish species. Actions to promote connectivity in just seven of the dams would increase connectivity by 35.0-37.2%.4. The removal of a single barrier chosen through prioritization had a greater overall connectivity increase than the random removal of seven barriers.5. Synthesis and applications. The proposed prioritization method, using spatial graphs and habitat suitability modelling, makes it possible to model the impact of the removal or placement of an insurmountable barrier on the overall functional connectivity of a river network, facilitating resource allocation and minimizing the impact of new barrier implementation.Show less"
23,A new measure of longitudinal connectivity for stream networks,"Cote, D","Habitat connectivity is a central factor in shaping aquatic biological communities, but few tools exist to describe and quantify this attribute at a network scale in riverine systems. Here, we develop a new index to quantify longitudinal connectivity of river networks based on the expected probability of an organism being able to move freely between two random points of the network. We apply this index to two fish life histories and evaluate the effects of the number, passability, and placement of barriers on river network connectivity through the use of simulated dendritic ecological networks. We then extend the index to a real world dendritic river system in Newfoundland, Canada. Our results indicate that connectivity in river systems, as represented by our index, is most impacted by the first few barriers added to the system. This is in contrast to terrestrial systems, which are more resilient to low levels of connectivity. The results show a curvilinear relationship between barrier passability and structural connectivity. This suggests that an incremental improvement in passability would result in a greater improvement to river network connectivity for more permeable barriers than for less permeable barriers. Our analysis of the index in simulated and real river networks also showed that barrier placement played an important role in connectivity. Not surprisingly, barriers located near the river mouth have the greatest impact on fish with diadromous life histories while those located near the center of the river network have the most impact on fish with potadromous life histories. The proposed index is conceptually simple and sufficiently flexible to deal with variations in river structure and biological communities. The index will enable researchers to account for connectivity in habitat studies and will also allow resource managers to characterize watersheds, assess cumulative impacts of multiple barriers and determine priorities for restoration.Show less"
24,The social connectivity of urban rivers,"Kondolf, GM","By social connectivity we refer to the communication and movement of people, goods, ideas, and culture along and across rivers, recognizing longitudinal, lateral, and vertical connectivity, much as has been described for other riversfor hydrology and ecology. We focus on rivers as they pass through cities, and the relationships between these rivers and city dwellers. Historically, the most important longitudinal connectivity function of rivers was their role as major transport routes and the simplification of formerly complex, irregular banks and beds, into straight, uniform shipping channels has resulted in a loss of lateral and vertical connectivity, notably the quotidian uses such as fishing, washing clothes, water supply, swimming and other recreation.The scale of the river itself, and its scale in comparison to the scale of the city, largely determine the river's social function and the degree to which it influences city form. River width affects the perception of 'closeness' of the other bank, ease of bridging the river, influence of the river on the city's street pattern, and type of waterfront uses that occur. Up to 15 m wide, people can converse, whereas across rivers similar to 50 to similar to 200 m wide, people are not recognizable but still clearly visible, instilling the banks with a 'lively' atmosphere. At widths over similar to 200 m, people blur, yet moving vehicles and trees branches shaldng in wind may still provide some dynamic elements to an otherwise static landscape composed of building facades. In exceptionally wide rivers, the city on the opposite bank is little more than a skyline, which often becomes a signature and symbol of regional identity.In contemplating how people use rivers, we can define a range of human activities in relation to height above the water (i.e., instream to banktop), a vertical dimension of human connectivity with rivers. Many uses occur on the top of the bank, such as quiet contemplation, walking, or cycling along a riverside trail, while others depend on contact with the water itself, such as wading, diving, and canoeing (which presupposes adequate water quality). Many of these relationships are illustrated by the challenge of reconnecting Cairo with the Nile. (C) 2016 Elsevier B.V. All rights reserved.Show less"
25,EFFECTS OF ROAD CROSSINGS ON HABITAT CONNECTIVITY FOR STREAM-RESIDENT FISH,"Diebel, MW","Road crossings can act as barriers to the movement of stream fishes, resulting in habitat fragmentation, reduced population resilience to environmental disturbance and higher risks of extinction. Strategic barrier removal has the potential to improve connectivity in stream networks, but managers lack a consistent framework for determining which projects will most benefit target species. The objective of this study is to develop a method for identifying and prioritizing action on road crossings in order to restore stream network connectivity. We demonstrate the method using a case study from the Pine-Popple watershed in Wisconsin. First, we propose a new metric for quantifying stream connectivity status for stream-resident fish. The metric quantifies the individual and cumulative effects of barriers on reach and watershed level connectivity, while accounting for natural barriers, distance-based dispersal limitations and variation in habitat type and quality. We conducted a comprehensive field survey of road crossings in the watershed to identify barriers and estimate replacement costs. Of the 190 surveyed road crossings, 74% were determined to be barriers to the movement of at least one species or life stage of fish, primarily due to high water velocity, low water depth or outlet drops. The results of the barrier removal prioritization show that initial projects targeted for mitigation create much greater improvements in connectivity per unit cost than later projects. Benefit-cost curves from this type of analysis can be used to evaluate potential projects within and among watersheds and minimize overall expenditures for specified restoration targets. Copyright (c) 2014 John Wiley & Sons, Ltd.Show less"
26,The science of connected ecosystems: What is the role of catchment-scale connectivity for healthy river ecology?,"Fuller, IC","Riverine biological communities are highly resilient to extreme flood and/or drying disturbance regimes that would otherwise be destructive because these organisms can recolonise from upstream, floodplain, or hyporheic refugia when suitable conditions return. Healthy rivers require a high degree of connectivity to support complex life cycles of many lotic organisms and associated ecosystem functioning. Similarly, connectivity is required for appropriate geophysical functioning; permitting flux of water and sediment that drives channel-forming and ecological processes. Ecological and geophysical processes have operated in this temporal and spatial patchwork of disturbance and recovery pre-Anthropocene. Human impacts are increasing constraints on river and floodplain connectivity, severing many natural pathways, and degrading river ecosystem functioning. River restoration seeks to re-establish some of those biological and physical connections to enhance some level of system health. However, increasing sediment connectivity may be detrimental to river health in some instances. Strongly connected catchments can transmit excessive quantities of sediment from inappropriate land management, detrimental invasive species can spread more widely, and many ecosystem processes can exceed positive feedback control. Simply restoring connectivity will not necessarily lead to healthy river ecosystems. River management requires a greater understanding of how and when connectivity can and should be restored. Although current thinking is often that greater connectivity is better, we illustrate with examples from New Zealand rivers that this is not always the case. The benefits and costs of maintaining or restoring river connectivity need to be given as much attention as the restoration and maintenance of river systems per se.Show less"
